,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,svalue
Phf20,1148.1737417813,-0.176009592996781,0.0552363638467624,-3.29896186821427,0.000970430924524299,0.00264685034664002,0.915668880327057
Fbxo3,1858.91832811721,-0.17885575357616,0.0643163604708821,-2.91396442204751,0.00356870575283138,0.00851960169877251,0.91096931328646
Rxra,3787.7736869047,-0.180100575371735,0.0511446553769922,-3.6284623302735,0.00028511434114935,0.000873763332005451,0.91704736978325
Ndor1,1200.2951041724,-0.180242477625126,0.0745884404639972,-2.57159259465054,0.0101231940645273,0.0214871687245122,0.916242004441339
Cir1,818.884763943641,-0.182489715615698,0.072946413957715,-2.65562481719428,0.0079161632038193,0.0173884498140868,0.885885270601296
Cercam,1975.49783242673,-0.18254057967901,0.089710048064533,-2.22243778587278,0.0262537341260974,0.0488785391323759,0.901065670383692
Dph7,316.167602925111,-0.182631341750929,0.0825467946127912,-2.38596021951133,0.0170345935821611,0.033425794241255,0.896184433904428
Npepl1,1794.66568339675,-0.184289320555072,0.0713808985423409,-2.73418921499397,0.00625340975862625,0.014066948549817,0.89479178606656
Mvb12b,1315.11158788269,-0.184927906267578,0.0565608841725133,-3.39147855246652,0.000695166037197371,0.00195975748470887,0.898743268280023
Ppdpf,726.667553260903,-0.185865886364912,0.0855019025288016,-2.35673422020297,0.0184364369454358,0.035982384092076,0.909284189878633
Stam,1081.12295400016,-0.186668694966597,0.0595974746350429,-3.26192100724182,0.00110659975217493,0.00295906943535012,0.874423965901863
Lrrc57,596.089803789859,-0.187073276968454,0.081309287466218,-2.47640865810667,0.0132711578479768,0.0272671058609089,0.901517425313447
Eid1,2884.90252459183,-0.188214155106062,0.0837088085186342,-2.43022405461457,0.0150894915146879,0.0301513465980302,0.914413952950972
Secisbp2l,2449.87843664587,-0.188776010727752,0.0641656025375191,-3.08329391207449,0.00204722852889928,0.00515833122649393,0.888969452476936
Pcif1,1480.67876978618,-0.190634799505012,0.0606054201838872,-3.28067624738915,0.00103558540406084,0.00279659325700589,0.896805340400215
Lnp,914.928328158086,-0.195084342585979,0.0707590842601355,-2.91827932417627,0.00351968905555941,0.00842101043775289,0.912945776563653
Fkbp7,2033.73917756259,-0.195788969998446,0.0663008735583899,-3.10513983924239,0.00190189084590495,0.00488226567737012,0.880345720630485
Celf1,1903.24744779419,-0.196241641433899,0.0669939179465236,-3.08328976929796,0.00204725703122995,0.00515833122649393,0.893755251939137
Tpd52l2,2380.25582139643,-0.196464830328509,0.0423761620084812,-4.73479179183001,2.19280088368925e-06,9.81097183962598e-06,0.905508504462847
Hipk3,3906.25170344652,-0.197510090338552,0.0706472450384207,-2.95902780621947,0.00308611253499017,0.00753232388294022,0.912058373674393
Zgpat,995.031915586643,-0.1987324723408,0.0886218810385401,-2.44608511455196,0.0144416902810404,0.0292074482368408,0.89269809026689
Traf6,894.379776703585,-0.199112029355639,0.0678946149218469,-3.09133125474126,0.00199261203570193,0.0050674585803049,0.902408670333235
Prpf18,1169.0055275449,-0.199986069423462,0.0489587021252261,-4.20087592164564,2.65884287327563e-05,9.86665841749561e-05,0.874606489207238
Acbd5,972.915952466771,-0.200328716354037,0.0677077064426151,-3.11809308307901,0.00182025304767314,0.00471709281475392,0.884664792212005
Trp53inp2,3846.76688460132,-0.201031171639658,0.0716482104784756,-2.97470289174562,0.00293272442963292,0.00719011764658318,0.895429411605551
Mtg2,395.538617372921,-0.204523464559203,0.0800471774596614,-2.74625556126303,0.00602797871454142,0.0136726086851657,0.903283928895269
Nmt2,1098.46870013638,-0.207500504591346,0.0790011066515206,-2.8185287361644,0.00482442924021927,0.0111988346831473,0.872191503073451
Clp1,347.303579867375,-0.208709775289524,0.101415458774348,-2.30055061925399,0.0214170449647542,0.0409929755378015,0.837225027499207
Kiz,626.555372969953,-0.213869345442783,0.0635388457379621,-3.52777456200858,0.000419068899329505,0.00124578792688962,0.903175381116251
Stard7,1631.39868079913,-0.216461752300644,0.0475510555050129,-4.67630497208357,2.92090123784323e-06,1.29016325930646e-05,0.890100973980356
Ddb2,376.228673311121,-0.220524309697943,0.112663957085339,-2.238734256638,0.0251732121823516,0.0473516801568027,0.819138919443993
Pip4k2a,505.100682024403,-0.22196865684652,0.108600887412269,-2.31848263287854,0.0204231057488948,0.039228183753599,0.82465297677767
Brd3,1926.84298675659,-0.222951758088039,0.0627959178526205,-3.71842582843003,0.000200468134717018,0.000630290302525264,0.915337845509892
Rnf24,848.188293795197,-0.224311841908694,0.063163291424691,-3.72144871357712,0.000198083099509642,0.000626401917579766,0.890658130005804
Mapk8ip1,1140.31069853577,-0.224792380623175,0.0832584657859489,-2.92028389828292,0.00349712644253429,0.00840388755243371,0.88796008386309
Tshz2,2942.09494258565,-0.232201739741827,0.0656539842518329,-3.72047275409061,0.000198850194868422,0.000627010296535977,0.873688527927642
Inpp5e,1024.13682153493,-0.2322152458987,0.0511709944480312,-4.68308482849717,2.82589495951873e-06,1.25327292716867e-05,0.901629720153454
4930402H24Rik,2324.08850648323,-0.235432890372014,0.0535677494289792,-4.54913640282971,5.38665199026751e-06,2.27784392301622e-05,0.877803490898838
Epc2,1281.38242608737,-0.235733173930995,0.0645940874767956,-3.83361455953274,0.000126273951809206,0.000416208100978379,0.909664151386994
Rcn1,9094.33172101481,-0.235937869380711,0.0661195729235552,-3.75675108059784,0.000172133560360847,0.000552346218687305,0.894663326708888
Abhd12,1577.0818071261,-0.238003843293876,0.0566263807002879,-4.36761690023529,1.25609568666984e-05,4.98327416057016e-05,0.876579777646037
Fastkd1,229.224934998383,-0.24175272932153,0.106342271327581,-2.56788455947737,0.0102321224979819,0.0216341969870121,0.825008650252758
1500011K16Rik,226.545274920163,-0.242674398940087,0.111668714743074,-2.48092972779815,0.0131040204115867,0.0269745023944172,0.816834956634862
Rbbp9,1248.60972438784,-0.244138069480832,0.0703985054246992,-3.67556170719192,0.000237326666337108,0.000731422014050238,0.898861974882274
Meis2,1057.04036888922,-0.244594940071458,0.0520624875011504,-4.8550899572573,1.20332105047896e-06,5.58648198328742e-06,0.892831384564695
Nsmf,2733.20230944729,-0.246417189761415,0.0603557872927308,-4.26479459928323,2.000861836985e-05,7.55342651955237e-05,0.908514596579618
Ganc,758.538702609311,-0.247981121643594,0.0658348829445502,-3.96548865210686,7.32457372009355e-05,0.000250505013436428,0.877976328959801
Ier5l,719.424384708445,-0.250839573419116,0.0988452162683622,-2.82561421047272,0.00471900615784209,0.0110009310218071,0.83441317576695
Mavs,1081.79054740592,-0.251060130245716,0.0432991175404401,-5.93409024127269,2.9547928840288e-09,1.94197532317797e-08,0.908804719423446
Crat,1535.89566910453,-0.252762956626554,0.0434620142161048,-5.95315681999054,2.63019048822504e-09,1.74971818454483e-08,0.878320542418307
Cbfa2t2,1213.09585061265,-0.255043256968357,0.0462974681360076,-5.65641415914332,1.54568228745739e-08,9.47720182672719e-08,0.916079051142587
Pltp,5188.10736671882,-0.255585388664743,0.0629887235424342,-4.2552571460949,2.08808896416126e-05,7.80172965719156e-05,0.881658799142084
Vapb,3215.91011816877,-0.256614982027845,0.0474646326713973,-5.55873661252363,2.71734396342282e-08,1.58535949951567e-07,0.905920681106412
